PDBID	Resolution
2cdz	2.3
4eol	2.4
5n84	2.3
7zbn	2.62
8fo7	3.52
2auh	3.2
2jld	2.35
1ywr	1.95
8d6c	2.2
2w9z	2.45
6spl	1.38
3fdo	1.4
7b5q	2.5
7q4p	2.15
7bu4	1.7022731752
2fys	2.5
5lq0	2.9
1e1x	1.85
4fv5	2.4
7psu	1.77
7pw2	1.1
6vns	2.09
4fyo	1.4
1bl6	2.5
4l8r	2.6
5dg5	2.6
5r9x	1.72
8owg	2.631
1gag	2.7
6fi3	1.52
3qzf	2.0
8xlo	2.36
7a5b	2.6
3fgu	2.15
7bdq	2.75
4alw	1.92
3agy	1.85
4ekk	2.8
1yom	2.9
6s39	1.88
5r8u	1.48
6l16	2.1
7u31	2.38
2f4j	1.91
5mo5	2.04
3e64	1.8
6g9a	1.91
6fnf	1.556
4app	2.2
7q12	3.7
2c3i	1.9
4l3l	2.1
7jw7	2.63
7b35	2.40005138292
3bhy	1.24
6pv9	2.0
7qb2	2.53
6gih	1.96
5uq1	3.201
3u6i	2.1
4eh2	2.0
4e6a	2.09
2xh5	2.72
6gjb	1.82
2gtn	1.8
8ao6	1.811
3u4u	2.2
1l5s	2.1
6ti8	2.32
4knb	2.4
5tr6	1.93
8vxe	1.85
2vv9	1.9
6urj	1.653
6y5r	3.76
4zzm	1.89
1p0m	2.38
2vto	2.19
6snp	2.75
1zvq	2.0
3wze	1.9
2x6d	2.796
4dlr	1.319
3fln	1.9
6vsn	2.5
5r9g	1.73
6weu	2.65
5c3t	1.8
4xoz	1.95
3a62	2.35
1jai	1.8
4s34	2.5
2y1m	2.67
4fkw	1.8
7bgw	1.9
4lop	2.049
3lhj	3.31
7chn	2.4
6qhm	1.25
8osn	1.8
5s9n	1.8
2a4l	2.4
8a8m	4.0
2hck	3.0
5moh	1.38
3bgp	2.8
8aem	1.6
4agc	2.0
6hor	1.8
4j9i	2.2
1y91	2.15
2j4c	2.75
6fr1	1.561
7evo	2.5
4c62	2.75
8k5n	2.2
3nrm	3.05
5hes	2.14
1th1	2.5
3hrb	2.2
3pj8	1.96
4gk3	1.898
5lvm	1.26
3qru	1.95
6q7f	1.204
3wf7	1.85
4xg7	1.76
5lmb	1.95
4bzd	1.83
4dea	2.45
8t1o	3.3
6tei	1.756
8chf	4.25
3dog	2.7
5cu4	1.56
3lfb	2.6
8bos	2.1
5os0	1.74
3ddw	1.9
6qu2	2.9
2c6o	2.1
6uan	3.9
5o91	3.2
3fko	2.0
7vv8	1.7
1jwh	3.1
4x6r	2.4
3qzi	1.75
3odz	2.3
3cxw	2.1
4i0r	2.1
5xqz	2.1
3e62	1.922
4qpa	2.85
4fxw	2.29
5i9z	1.698
5ap2	2.8
3hmo	2.4
3new	2.51
8pyj	2.702
4erw	2.0
5ap4	2.85
6q49	1.0
2vtn	2.2
2erz	2.2
3eqy	1.63
2c68	1.95
6v9m	1.648
3ugc	1.34
3uo6	2.8002
5wdq	1.25
7q1o	2.65
7a4c	2.502
5j3x	2.822
3g0f	2.6
3i81	2.08
1yz5	2.8
6rpg	2.7
3si7	2.25
3a8y	2.3
8ucb	1.85
6pl2	2.59
5bms	2.903
6ehk	1.4
8waq	6.29
4zy6	2.15
5r8x	1.73
5if1	2.61
5obj	2.901
1yxv	2.0
4gw8	2.0
6jk8	5.0
2ojj	2.4
7zun	2.5
6e2n	2.098
3lq8	2.02
5np2	1.6
3jxu	2.14
2ldr	No resolution data available
8pyk	2.23
7su3	3.3
4u9a	2.8
4l1j	1.824
7kw7	3.57
6fn5	1.932
2odg	No resolution data available
8izc	1.45
6bku	2.0
1lf0	1.7
6vnl	2.4
3emg	2.6
8sbj	3.1
5lmk	2.4
6ade	3.15
7n9g	2.2
8a5j	2.123
5xvf	2.655
4j96	2.2972
5r91	1.731
7nja	1.75
4l3q	2.7
1agw	2.4
3p23	2.7
6aak	2.67
4axb	2.4
4rc2	2.096
3hrc	1.91
7zy6	3.09
7k6m	2.413
6h3k	2.48
3qqf	1.75
5a14	2.0
1h26	2.24
3b8r	2.7
2quz	1.49
6zwr	1.9
3wow	2.5
3p78	2.3
5vd3	1.8
2rfs	2.2
4rer	4.047
3qu0	1.95
4w8d	1.77
6r4e	2.353
3r9h	2.1
3cy2	2.01
1a9u	2.5
5r9u	1.67
6wfj	2.5
2bfc	1.64
4rwi	2.292
4wa9	2.2
5ia3	1.788
4ewh	2.5
6qaq	1.58
5a4l	2.73
4z7g	2.6
8fh4	1.827
4p4c	1.599
4nm3	2.1
5mzl	1.955
6zsi	1.914
6pxo	2.0
5nk1	1.548
4jx3	2.5
3fxz	1.64
5cyi	2.0
3e8d	2.7
2w96	2.3
6fnj	1.239
7a49	2.03
6i82	2.05
6i0c	2.675
8y6o	3.38
4rgw	2.301
8ch6	5.9
8c6n	2.05
3ojy	2.51
3ctj	2.5
3q9x	2.2
3cth	2.3
6cur	1.73
8r10	2.2
1h28	2.8
6svm	2.481
5n9n	1.841
6nfz	2.966
4eoj	1.65
3mpm	1.95
6esy	2.8
2wev	2.3
8p5g	2.019
3qri	2.1
2w06	2.04
5xgj	2.97
7be4	2.1
5r90	1.619
2m09	No resolution data available
7rn6	1.5
6hv0	2.73
8djd	2.205
8bhy	5.33
2fso	1.83
1bkd	2.8
7mkx	3.08
4alu	2.6
5uyj	1.6
5hvk	3.5
3rps	2.3
8bya	3.38
3bis	2.64
8pyn	1.71
3ocb	2.7
4fa2	2.0
3l8z	1.44
6t5h	2.04
3otu	2.1013
8u1l	3.7
5zn0	1.1
5j1w	2.42
8tvn	1.95
2bva	2.3
5h3q	2.1
1yxu	2.24
1pw2	1.95
3a7h	1.96
5mjb	2.23
6c9j	3.05
6q4b	1.12
3dkk	2.31
3r9o	1.9
4f64	2.05
6zc0	1.97
4ztl	2.39
5tq8	1.59
6vao	3.4
7b3v	1.93
2qoo	1.25
1r3c	2.0
3wf8	1.975
4red	2.95
6juu	1.903
3nww	2.09
1xj0	1.7
2uzd	2.72
2uzn	2.3
3srv	1.95
2vx3	2.4
4dit	2.6
4uqi	2.79
3ha8	2.48
4c3r	2.79
4a7c	2.3
6gzm	1.59
6a1c	1.68
2wik	2.1
8bfu	2.41
3erk	2.1
6eg9	2.414
6q0t	5.7
4fkt	1.6
6owo	3.2
6oho	2.0
4bbf	2.0
2jkr	2.98
4kbc	1.98
5nk3	1.586
4yjq	1.34
5fm2	3.3
3a77	1.8
3p7b	1.9
8c1e	2.798
4zy4	2.6
5one	2.6
3lw1	1.28
8qgy	3.71
3j0s	9.0
7d8p	2.0
2pe0	2.35
1pxi	1.95
2okr	2.0
1x7y	1.57
6snq	2.7
3vs1	2.464
1zaf	2.2
2vu3	1.85
6bsk	2.573
3rs5	1.68
6m22	2.7
5n93	2.1
7td5	2.994
7p7f	1.96
1seu	3.0
4agd	2.81
7okx	3.3
4yc3	2.7
8x5k	1.8
2c5x	2.9
5ls6	3.47
2fsl	1.7
5twf	3.136
1h0w	2.1
7y4t	2.16
4bi1	2.7
5bpl	1.93
5oto	1.51
8p7l	2.1
3oiw	1.3
4jia	1.85
8r0b	4.4
8ppl	2.65
3zs5	1.6
6y53	7.1
3r7e	1.9
3lxk	2.0
2r3r	1.47
7nh4	2.3
4din	3.7
7myo	2.92
6kyr	2.206
5dlv	2.0
6qas	1.75
8pq9	1.7
8txz	3.05
5dr9	2.47
3qxo	1.75
4ek4	1.26
1k4t	2.1
3lfc	2.8
4f9y	1.85
8pvp	2.6
2wij	2.1
7kx8	3.1
1vyz	2.21
8r4q	2.838
7dy7	2.42
1r0p	1.8
8pqf	1.9
6q7s	1.73
5oo0	1.6
3vap	2.66
6d3k	2.6
2c0t	2.15
3idh	2.14
6qah	1.58
6dbk	2.0
2x2k	2.6
6nm7	2.426
6c1b	2.0
5otr	1.52
6xd3	3.3
6ru8	1.92
6r4i	2.586
1zzl	2.0
3wzd	1.57
6stg	2.5
3iw5	2.5
1gjo	2.4
6e2o	2.389
3h9o	2.3
1h1w	2.0
621p	2.4
1h1s	2.0
5t5t	3.46
6o5z	2.285
5wfo	1.99
6fnl	1.269
5v60	2.18
5vec	2.20001616144
4j9b	1.702
4jdh	2.0
2cpk	2.7
4u6r	2.5
3qbn	3.5
3ds6	2.9
3wyx	2.9
6db3	1.97
4dh1	2.0
6sg4	2.43
6e6c	1.9
1h08	1.8
6u2h	2.5
4aze	3.15
1pkd	2.3
1pxl	2.5
5tq5	2.3
8elk	1.8
1vr2	2.4
7svp	2.9
4gg7	2.27
7n91	3.0
4qp2	2.23
7k6n	2.77
5ijq	2.05
6rwh	1.68
2yis	2.0
5zj6	1.696
4e6q	1.948
8fec	2.7
5o2c	2.4
4o0s	2.5
2qu6	2.1
5kgd	1.98
3juh	1.66
7nqq	1.943
5i9v	1.458
7m4o	2.21
6itt	2.103
4bhn	2.3
6d56	1.68
6q7e	1.059
3zrl	2.48
3exh	2.444
5mqv	2.154
4acc	2.21
2rd0	3.05
2qoq	1.6
2g2i	3.12
6dmg	2.2
5ra5	1.54
4byj	2.75
5y5t	1.8
1urw	1.6
7tam	1.87
4kd1	1.7
5mty	2.31
8flb	2.55
6q9q	2.1
8fg4	1.85
8ao8	1.697
6nbs	1.9
4qoz	2.304
5hgi	2.584
5hez	2.66
8qxd	9.6
1gnr	1.85
7xzr	2.26
4bzn	1.9
6guh	1.5
4zts	2.9
6hew	1.268
3jpv	2.35
5hkm	2.1
4fkv	1.7
7l0g	2.54
6sov	1.31
5il0	1.882
7unc	3.0
3g0e	1.6
8qlt	1.47
4ib1	1.63
4c4e	2.6
3uli	2.0
6c2r	1.96
5cf5	2.45
6g2h	4.6
5yv9	2.53
5jfx	1.63
5nhh	1.94
3l1s	2.9
6t9s	2.7
2bfb	1.77
1mk2	2.74
7rx8	1.85
3coi	2.09
3vid	2.3
5oxh	1.601
7q7k	1.61
7nmx	2.3
1xbb	1.57
1jbp	2.2
3j4r	35.0
7qhe	2.47
8exo	2.46
5b30	1.6
4tpk	2.7
2cci	2.7
5il2	1.606
5ubr	2.4
1w84	2.2
3iok	2.1
5dnr	1.95
4hvs	1.9
6x8e	1.75
6h04	5.6
6y81	1.54
6xdd	2.4
5ew8	1.63
7pg2	6.7
1h24	2.5
1b39	2.1
5w1r	4.4
5ved	2.301
5nhl	2.07
4i0t	1.7
6y3v	1.499
4hkc	2.2
6rjz	1.58
5osm	1.77
7ll4	1.31
6whe	1.73
1aa9	No resolution data available
3r00	2.1
3nz0	2.0
5t3q	2.0
5tey	1.8
8dp5	3.1
2hk5	2.0
7bgv	1.683
2wsl	2.0
1kv1	2.5
1x78	2.3
1e1v	1.95
3vbv	2.08
2vwu	2.0
4bi0	2.84
5nho	2.24
7xwq	1.89
8h7f	2.4501342407
4cfv	2.0
7m2f	1.632
4aa4	2.3
3qrk	2.3
6ej4	2.88
3qyw	1.5
5toa	2.5
4yno	1.7
3nyx	2.5
4md7	3.1
6hm7	1.64
2vx0	2.1
7a4s	3.1
6gqk	2.31
4kiq	2.5
3ti1	1.99
6gvj	2.41
7xwp	1.919
4eok	2.57
3tnp	2.3
1wcc	2.2
4jx7	2.4
5dt3	2.33
6d5l	1.7
3cp9	2.5
3r0t	1.75
1fxy	2.15
4c4j	2.5
7oqj	1.4
5wdp	1.35
7a4r	1.8
6zl3	2.031
8uhd	2.8
2vta	2.0
8eza	4.39
5owh	2.3
6w3a	2.606
3rmf	1.75
4jai	3.2
2bzf	2.87
6tlp	1.93
8p73	2.0
4nj3	1.848
5clp	1.684
7ngb	3.64
6vnk	2.0
3eqr	2.0
6v6l	2.19
1i44	2.4
3rs0	1.4
3jzq	1.8
6dud	1.66
6cq5	3.354
2pzp	2.4
4l7e	2.229
5k76	2.74
4ty1	2.7
3s4q	2.27
5nhp	1.99
3zsh	2.05
5vd0	2.13
3ha6	2.36
3rin	2.2
6xdb	2.45
5om0	3.2
4ptg	2.361
1ove	2.1
4fl1	1.79
4uru	2.83
3dk3	2.02
8gxq	5.04
7oy6	2.38
6y4w	1.86
5j89	2.2
3d0e	2.0
5z58	4.9
4gih	2.0
2x1v	1.7
4urx	2.49
421p	2.2
4dlv	1.572
2rg5	2.4
1ol2	2.6
5m44	2.71
3byu	2.3
6z4y	2.25
8paw	2.14
4xhk	1.9
2qo7	1.605
3s41	2.18
6e0e	2.7
4k0y	1.954
8d7n	1.66
6c23	3.9
5iex	2.03
4xp0	1.46
8c1k	2.43
4fv1	1.99
3vev	1.8
2vtm	2.25
2obj	2.5
5flf	2.58
5buj	1.85
1h1q	2.5
5lma	1.43
5eti	2.8
1xlu	2.198
6yti	2.4
1l3r	2.0
6mzl	23.0
5oul	1.34
5ia1	2.036
7obd	2.0
3f88	2.6
6xr4	14.0
8wak	5.47
5m4f	1.519
8aoj	1.12
4j9g	1.8
5sx9	3.52
4iwv	2.1
3zmm	2.51
5r9b	1.657
5tr5	No resolution data available
6k71	4.3
2c6t	2.61
5ia5	1.776
2cl0	1.8
3r73	1.7
7bb6	4.2
6r4a	1.937
3q4z	1.887
6q7t	1.6
8be9	2.51
5eyd	1.85
3ckw	1.96
8r9o	2.22
6n6o	2.6
5h8g	2.0
1irk	2.1
5hzn	2.2
7ozf	1.82
7ajy	2.2
3jbl	4.7
2rvn	No resolution data available
2vtp	2.15
6y7t	2.5
5o90	2.49
2fst	1.45
6tnb	2.65
4ct1	1.85
3m11	2.75
3rrz	1.6
4bcq	2.4
5kpl	2.6
3io7	2.6
7k1j	3.9
2pe2	2.13
3ad4	2.2
4a4b	2.789
8zjv	1.8
6o9l	7.2
8ems	2.65
5sxj	3.42
3qyz	1.46
8r9s	2.78
1qkm	1.8
5ap7	2.45
7kso	3.9
2zb2	2.45
2vww	1.9
4gj3	2.5
3efl	2.2
6us1	1.653
8pav	1.9
3hub	2.25
6s11	2.445
1x76	2.2
4rwj	2.489
3uzp	1.94
5eyc	1.8
6cuo	1.73
6pdp	2.5
5ng0	2.0
821p	1.5
7s77	2.8
3tud	2.33
3cs9	2.21
8bx9	1.4
8bof	1.82
1pi1	2.0
4xmo	1.75
6bqp	1.95
5vcw	2.25
1yvj	2.55
5szi	2.85
6oyw	2.603
4mxz	2.582
7rwc	3.8
6tnd	2.58
5nev	2.97
6wlx	2.2
1r39	2.3
8ine	3.2
3r02	1.95
3ion	2.4
4qo9	2.2
3roc	1.7
5orx	1.88
6g3r	1.4
3sw7	1.8
1nvx	3.2
4nh1	3.3
2uzb	2.7
8or1	3.5
6vnc	2.3
7z0n	2.4
4uyn	1.9
6rkm	1.88
4byi	2.6
6ehu	1.95
2r3h	1.5
4qmu	1.546
6sou	1.5
4ylj	2.58
8qls	1.61
5ra3	1.57
7r9n	1.5
3eid	3.15
3anq	2.6
7chm	2.65
5bui	2.12
2c6l	2.3
3nw6	2.2
2ivv	2.25
8h7g	3.7
6gu3	2.65
6sfo	1.75
1u9e	2.4
1v1m	2.0
1lew	2.3
8slz	2.3
5i9w	1.359
4dg0	2.0
6gn1	2.6
6vrv	1.74
2dvj	No resolution data available
6v9j	1.76
2g2f	2.7
4cfe	3.023
7ju5	1.9
2wtw	3.302
1plk	2.8
6zcr	1.73
6ft8	1.45
6rwu	1.46
8aec	1.09
4lgd	3.05
8r4v	1.9
7kjs	2.187
6uc0	7.5
7cja	2.49
3pxf	1.8
2c69	2.1
5okf	3.2
3r83	1.75
6bvl	1.748
1urc	2.6
8y22	2.792
3ce3	2.4
1ol5	2.5
2x2m	2.5
7akh	2.85
2w1c	3.24
8oso	2.5
7w7x	2.00000937681
5h0h	1.72
6en4	3.08
1pxo	1.96
7rw8	3.5
5uiu	2.02
1h1r	2.0
4yc6	2.6
6spx	1.994
5r9p	1.72
5f94	2.51
8qtk	1.873
6m23	3.2
7bjw	1.4
6bvk	1.799
8w3w	1.976
3eqp	2.3
6pdj	1.81
7atu	2.8
1q41	2.1
5s9l	1.9
2py3	2.3
5kbq	2.58
2wpa	2.51
4z18	1.952
3rwp	1.92
2ati	1.9
6q48	1.03
3nga	2.71
2ezx	No resolution data available
3o7l	2.8
2xa7	3.1
4us2	2.48
3flq	1.9
2n46	No resolution data available
3fmn	1.9
4eh3	2.4
8bm2	1.5
1ioz	2.0
3vnt	1.64
5x8i	1.902
5fm3	2.95
1x7x	2.1
7uxq	2.89
3nuy	2.1
8g8x	1.97
5ur1	2.2
4eh9	2.1
7a5d	1.8
6anl	2.0
5lck	1.89
1fgi	2.5
7sxj	1.85
2bfd	1.39
5il1	1.71
5ani	1.9
7apg	2.4
7ort	2.33
5ap0	2.15
4hpt	2.15
3i5n	2.0
7or3	1.8
8aoh	1.6
5r9v	1.45
5f95	2.525
8d7m	2.25
3zrm	2.49
3atv	1.58
6rfj	2.61
1zef	1.9
5cqw	2.65
7myj	2.95
3lau	2.1
5grj	3.206
5umo	2.26
8aek	1.65
6zfg	1.85
4ewq	2.1
2mrj	No resolution data available
7rwf	1.5
6vnf	2.06
2r3o	1.8
3fkl	2.0
4bcm	2.45
4qmn	2.091
1pxp	2.3
6gr8	1.75
5uq2	2.7
7r9y	2.85
2vts	1.9
6hny	1.65
4g3x	3.25
5nhf	2.14
4dh3	2.2
2ra3	1.46
4jt3	2.2
4xh6	2.04
3qwj	1.75
5o26	2.379
3zni	2.21
1w0x	2.2
4dlw	1.72
2q0b	2.9
3rs7	1.7
6hvd	1.63
6hbn	1.59
6qdz	1.73
6yl6	1.7
5a4c	2.09
7e11	3.43
5b2z	1.56
7rwb	3.9
1oec	2.4
6y3s	1.95
7tps	3.15
3omo	2.21
4rc3	2.338
3gcv	2.3
6f1w	1.864
6fma	1.667
5ank	1.9
2x6e	3.35
1pyx	2.4
8bem	2.6
1x7w	1.73
8oz0	3.5
7dhc	2.592
3uvp	2.4
6vpm	1.58
8c1g	1.96
3d2e	2.35
4ifc	2.13
6j5l	2.3
4dfz	2.0
1qmz	2.2
5fi4	2.5
3mb7	1.65
7qbq	2.49
7q16	2.356
1zed	1.57
3a0i	2.2
6tlu	1.81
6qad	2.497
4f9a	2.17
1s3x	1.84
5ng2	2.8
5lqf	2.06
5eh0	2.18
7wcl	2.495
6ohs	3.2
4ian	2.44
4l1b	2.586
5mow	1.86
1q21	2.2
7myn	2.79
3rcj	1.7
4l3j	2.1
5n65	2.0
3w18	2.5
4qps	1.8
8bod	1.5
4dh7	1.8
5ct0	2.008
8ao9	1.624
5dc4	1.48
9epw	2.3
8tzc	2.7
6o85	3.03
3amy	2.3
6pdo	2.4
4eh6	2.1
7vvg	1.7
6q0k	6.8
4n6y	2.6
2jdo	1.8
1z0n	1.49
1x7j	2.3
8hdg	1.73
1wzy	2.5
7a52	2.1
8g6z	2.45
4grb	2.15
4q21	2.0
6url	1.72
4xvr	2.031
2qol	1.07
1oz1	2.1
1j3h	2.9
1i09	2.7
4gmy	2.403
6hjj	2.13
5kge	2.23
4qp6	3.1
3wyy	3.05
7c2w	3.2
3t9i	2.6
3h0z	2.92
8w3x	1.765
5hd4	1.45
1di9	2.6
1gng	2.6
5zn5	1.7
6pk6	2.1
2z60	1.95
6c2t	1.73
4xs2	2.73
4h3q	2.2
4fbx	2.33
4iz7	1.8
3mk0	1.9
7vsy	2.141
8g12	2.17
4wnc	1.99
8c1h	2.233
7b3z	1.8
6dkw	2.91
3fjq	1.6
2vti	2.0
5o21	2.06
7npg	1.37
5nk8	1.761
4rwl	2.193
4yo6	2.32
7oqw	1.9
5x9s	2.5
3eg0	2.3
7mo8	4.5
6w39	1.736
3fmk	1.7
7dl6	2.648
4dh5	2.2
3bx5	2.4
2c6m	1.9
8r1t	2.0
6lvk	2.29
6pys	2.19
8c7r	2.53
7jhh	3.92
1wci	1.84
6gqm	2.0
5hng	3.01
1qja	2.0
9epy	2.65
3at3	2.6
8bio	1.6
4jdj	2.3
4xey	2.891
3fkn	2.0
4iaz	1.85
8ts7	2.71
4fl3	1.9
6q9u	2.4
8ahi	2.69
5ezv	2.99
4i6q	1.85
7bgr	1.8
8vxf	2.28
5uiq	2.64
5mja	2.14
4l44	2.9
6cz3	1.8
4ek5	1.6
3cpb	2.7
3pup	2.99
4mxx	2.6
7bdy	1.801
2qon	1.79
5np3	2.0
6sp9	1.22
2w1g	2.71
5d7v	2.33
5tr2	2.5
4j1v	1.95
7b30	2.1
6hhi	2.7
3fwq	2.3
1qcf	2.0
7v3r	1.7
6q7g	1.047
5h8e	2.15
2uze	2.4
6gql	2.01
1qpc	1.6
4l67	2.8
8c6m	1.8
3q3b	2.7
4d1x	2.1
6tm7	3.0
2abl	2.5
2oh4	2.05
4nif	2.15
7nm9	1.7
2z4b	2.34
5n2w	2.68
6y9s	2.03
3anr	2.6
1fbv	2.9
4azf	2.55
7m4m	2.39
4a49	2.214
1fin	2.3
7b8h	1.34
2wif	2.25
6sze	2.94
3k3j	1.995
1yol	2.3
1xd2	2.7
2r3p	1.66
6r6v	2.5
8p75	2.0
5orh	1.75
721p	2.0
8aza	3.15
5swg	3.11
3ral	1.75
5nk4	1.45
3jrx	2.5
6x8g	2.21
2puu	2.5
1gzo	2.75
7jif	1.757
7nfe	4.29
3r7o	2.3
7jhp	2.766
4fko	1.55
7qrb	2.6
6ykd	1.86
2zoq	2.39
5otz	1.46
3exg	3.011
3qhr	2.17
7nm3	1.4
2ojg	2.0
5orj	1.99
7eq7	2.111
3exf	2.998
4im3	3.342
3ri1	2.1
1nvu	2.2
4xp2	1.748
6ath	1.82
3h9f	2.6
2c0i	2.3
6qac	2.771
4o21	1.95
5nk6	1.267
7oy5	2.57
5l6w	2.53
8dgs	4.3
6emi	2.476
8u4e	4.2
6zn2	4.3
4ovv	3.5
4fki	1.6
6fjz	1.864
5t31	2.85
6hhf	2.9
3kf4	1.9
7pvv	1.82
8bk0	1.7
5uir	2.64
3k2l	2.36
4dlx	1.731
8b0g	3.3
6agx	2.95
6m1y	3.2
1r49	3.13
5vub	2.0
2baj	2.25
2x4z	2.1
5ngu	2.74
5ei8	2.17
3jxw	2.8
6d59	1.7
4pv0	2.0
4pte	2.033
4p2k	1.499
5os8	1.55
6cqf	2.246
5mot	2.09
7z37	3.67
6cz4	1.5
6bl8	2.5
5owr	2.3
3r7y	1.9
2vx1	1.65
4rlo	2.527
2np8	2.25
6gvh	2.74
3bqc	1.5
3fi4	2.2
3beg	2.9
3qzh	1.95
4k33	2.3405
7ajs	2.15
5n2f	1.7
3py0	1.75
3x2u	2.4
6pma	2.53
6boe	3.598
5fxs	1.9
5uy6	1.7
5f9c	2.5
7uxp	2.62
4kwp	1.25
5mhq	1.3
3d83	1.9
4zzo	1.63
3egu	2.25
7bjl	1.4
7qtt	3.1
4ey0	2.8
8am1	2.53
1k3a	2.1
5xyy	1.7
8qng	2.197
8g14	2.3
7z9t	2.6
2nry	2.15
7ak2	2.1
2ofv	2.0
4iaa	2.85
4im2	2.5001
1v1k	2.31
2c5o	2.1
8bok	2.02
3f5p	2.9
1zz2	2.0
4o22	1.7
6spw	1.599
6iq6	2.29
3f9m	1.5
6i5l	2.55
6yul	2.4
7nzn	2.39
5mrb	2.2
3efw	2.29
6ra5	2.9
8wtf	2.0
2a19	2.5
3ocg	2.21
4j8m	1.853
7qra	2.4
5ew3	2.5
8tvm	2.1
5r9k	1.498
7ng7	1.5
8aod	1.62
5r9t	1.8
4iai	1.55
2fgi	2.5
5dt4	2.86
3ej1	3.22
2biy	1.95
3py1	2.05
2w1i	2.6
2nru	2.0
6uip	3.7
1pf8	2.51
5n9k	1.643
5osp	1.91
6gqp	2.09
4cff	3.924
3uok	2.9506
5n87	2.29
8uv0	1.55
8yhk	3.3
3lfe	2.3
6yta	2.3
6xr6	No resolution data available
2c5n	2.1
3rai	1.7
7aj8	2.0
7k19	4.3
3kul	2.15
6ng0	2.05
7mfe	4.07
4dhf	2.8
1pkg	2.9
6jmf	2.0
4us1	2.65
3rzb	1.9
8udv	2.348
5xgi	2.56
3cjf	2.15
5g15	2.06
4bhz	2.85
3q2v	3.4
5bvf	1.9
8war	7.2
8oy2	2.618
4j6s	3.08
3uvr	2.1
5ugx	2.349
3wzk	2.3
3s3i	1.8
6qal	1.57
6no9	1.712
2j50	3.0
8r6q	2.17
7khk	2.34
4hzs	3.23
6qae	2.487
4px6	1.6
4fkg	1.51
5nn0	2.1
4xg9	2.91
5tq6	2.06
4bco	2.05
6y8d	1.51
5vef	1.752
6wev	2.9
3r22	2.9
4usd	3.05
4uba	2.995
8p1o	2.17
4c4i	2.65
8fp5	1.7
3mgy	2.1
3kck	2.2
1ol6	3.0
5xva	1.847
4fv8	2.0
6ybv	3.8
4geo	1.66
6tlw	1.73
1u7v	2.7
5jdr	2.7
7z39	1.6
6svq	2.717
6g91	1.8
4xg2	2.21
4rc4	2.651
6es0	2.38
4e6d	2.22
2r3g	1.55
3le6	2.0
4fih	1.97
2uzi	2.0
6vp6	3.47
5r9j	1.52
6nos	2.701
6tll	1.88
6npu	2.33
4zy5	2.35
3be2	1.75
6g9k	1.94
8h75	3.75
5kbr	2.36
3mvl	2.8
5ho8	2.7
4o27	3.185
8p6z	2.1
2x2l	2.0
3dkf	1.8
6xaf	1.968
3qtu	1.82
6mqt	1.498
3e93	2.0
5aqw	1.53
4bi2	3.11
6pxw	3.1
7nzm	3.96
2zmc	3.14
7b8i	2.55
5bn8	1.34
6q3f	1.18
8em0	2.109
7oow	1.95
5tex	2.149
6da4	2.9
6y4u	1.86
8bwg	1.32
2r3q	1.35
4d0w	1.77
3i3s	1.36
8ouu	1.77
7qg2	3.031
5v24	2.5
5anj	1.6
6gjo	2.91
1rr8	2.6
1qpe	2.0
1wbn	2.4
7pvs	1.05
6y50	4.1
6eil	2.465
7wv9	3.36
4cki	2.116
5os5	1.74
5swo	3.5
5fxr	2.4
2v0d	2.2
3l8s	2.35
6mzd	9.8
7m74	3.93
7oqu	1.4
5f1z	2.65
4iay	2.0
5ax3	2.984
8p74	2.2
2b52	1.88
6opg	2.9
7oqa	1.8
7ote	2.49
5amn	2.57
6d5w	2.478
2o3p	2.24
7du9	2.31
1clu	1.7
6m95	1.8
3nuu	1.9803
3rwq	2.55
7ol0	3.0
1ksw	2.8
4qt1	2.4
6lk5	2.5
3a99	1.6
6rkk	1.88
4e4m	2.25
2ofu	2.0
6ft9	1.87
6yf8	3.198
1ykr	1.8
7pvu	2.154
4p7e	2.4
8p6v	1.9
7r9v	2.69
7c88	1.997
3c5u	2.8
7kjb	2.8
5brk	2.3
2xj2	2.2
5l0k	2.73
4rlp	2.79
5mo7	2.15
6xvb	2.15
1r0y	2.55
5cf4	2.38
7qgp	1.9
8v8i	3.2
2qvs	2.5
3fhi	2.0
6mm5	1.95
2fo0	2.27
4j98	2.3067
5vua	2.2
1u3r	2.21
3omp	2.05
5lwn	1.6
3agz	2.51
4w8e	1.79
6aam	1.98
2yn8	2.11
4dei	2.05
5wpl	2.15
7thy	5.2
1crr	No resolution data available
5ei2	2.67
1di8	2.2
2giu	2.2
7ree	1.38
6b1u	2.77
6g9h	1.73
5orp	2.19
2yza	3.02
7cil	2.3
7fgm	2.2
4euu	1.8
1rek	2.3
3fsk	2.0
3agx	1.85
4yll	1.4
5e95	1.402
5ane	1.7
5r9c	1.74
4enx	2.8
2vwz	1.65
2xmy	1.9
5g1x	1.72
8ucc	1.8
7d44	4.0
3o8t	2.0
6q9w	1.55
3js2	2.2
4xg6	2.4
6d1z	1.87
4no7	1.7
6l15	2.6
6i5h	1.49
7akb	2.8
7ajm	2.4
1xcm	1.84
2b4s	2.3
2q21	2.2
8vq4	1.9
7aja	2.2
4u1p	1.4
1zw6	1.5
8r1n	2.21
7lbm	4.8
3vo3	1.52
8aok	1.6
3jy0	2.4
5kgi	2.13
5n4n	2.09
7or8	1.8
8u8a	3.4
6bbv	1.8
6g9m	1.86
1exv	2.4
4bib	2.43
7dhl	2.57
1tvo	2.5
